entity:sample_id	channel_model	code_length	n_types	min_hamming_weight	max_hamming_weight	metric_type	source_nonuniformity	lowest_energy_sa	rand_state_energy_loc	rand_state_energy_scale	i_iter	i_cycle
channel_bac_merfish__10__1__9__128__1000__20__fdr	channel_bac_merfish	10	128	1	9	fdr	1000.0	0.3861210346221924	0.5652717351913452	0.008057717233896255	244238	25
channel_bac_merfish__10__1__9__128__100__20__fdr	channel_bac_merfish	10	128	1	9	fdr	100.0	0.356891930103302	0.4937208890914917	0.007409135811030865	243857	25
channel_bac_merfish__10__1__9__128__10__20__fdr	channel_bac_merfish	10	128	1	9	fdr	10.0	0.3360733389854431	0.433206170797348	0.005948434118181467	244092	25
channel_bac_merfish__10__1__9__16__1000__20__fdr	channel_bac_merfish	10	16	1	9	fdr	1000.0	0.08056013286113739	0.23202788829803467	0.03212085738778114	157117	12
channel_bac_merfish__10__1__9__16__100__20__fdr	channel_bac_merfish	10	16	1	9	fdr	100.0	0.06524542719125748	0.17308054864406586	0.024788888171315193	179819	16
channel_bac_merfish__10__1__9__16__10__20__fdr	channel_bac_merfish	10	16	1	9	fdr	10.0	0.055074293166399	0.13608011603355408	0.018188001587986946	227948	15
channel_bac_merfish__10__1__9__256__1000__20__fdr	channel_bac_merfish	10	256	1	9	fdr	1000.0	0.49690425395965576	0.671821117401123	0.004338041879236698	241597	25
channel_bac_merfish__10__1__9__256__100__20__fdr	channel_bac_merfish	10	256	1	9	fdr	100.0	0.4753417372703552	0.6119892001152039	0.004144152160733938	240385	25
channel_bac_merfish__10__1__9__256__10__20__fdr	channel_bac_merfish	10	256	1	9	fdr	10.0	0.4615999460220337	0.5526043772697449	0.003381249262019992	238765	25
channel_bac_merfish__10__1__9__32__1000__20__fdr	channel_bac_merfish	10	32	1	9	fdr	1000.0	0.15214045345783234	0.3333216905593872	0.021982576698064804	404555	25
channel_bac_merfish__10__1__9__32__100__20__fdr	channel_bac_merfish	10	32	1	9	fdr	100.0	0.13053379952907562	0.26376667618751526	0.017867624759674072	255925	23
channel_bac_merfish__10__1__9__32__10__20__fdr	channel_bac_merfish	10	32	1	9	fdr	10.0	0.10673241317272186	0.21645347774028778	0.013641883619129658	292112	25
channel_bac_merfish__10__1__9__64__1000__20__fdr	channel_bac_merfish	10	64	1	9	fdr	1000.0	0.2591968774795532	0.44858598709106445	0.01384680811315775	359653	25
channel_bac_merfish__10__1__9__64__100__20__fdr	channel_bac_merfish	10	64	1	9	fdr	100.0	0.22479619085788727	0.37375980615615845	0.012044399976730347	247426	25
channel_bac_merfish__10__1__9__64__10__20__fdr	channel_bac_merfish	10	64	1	9	fdr	10.0	0.20321951806545258	0.31771066784858704	0.009386325255036354	246462	25
